	상담사질문(요청)
18616	 언제까지 보장되나요?
18622	 가입한지 얼마나 되었나요?
18624	 20년납입가요?
18626	 그럼 얼마나 줄일 수 있나요?
18628	 다빼면 허전한가요?
18630	 해약은 어떤가요?
18632	 종신은 나를 위한것이 아니군요?
18634	 연금형태로 받을 수 도있나요?
18636	 일시불로 받을 수도 있구요?
18672	 너무어려운데요?
18674	 바로 다시되나요?
18676	 스마트 뱅킹도 그럼 안되겠네요?
18697	 네 다음은요?
18704	 더 궁금한거 있으세요?
18706	 얼마까지 가능 한가요?
18708	 100만원 넘으면 안되요?
18710	 그럼 청구서류미리 받을수 있을까요?
18712	 우편은 안되나요?
18719	홈페이지를 통한 조회 방법을 안내해드릴까요?
18722	또 다른 방법이 있는데 안내 해 드릴까요?
18730	보험료 또는 계약대출이자 자동이체실적이 5회 이상인가요?
18740	자동이체 계좌 변경을 원하시나요?
18743	자동이체 계좌는 기존대로 사용 하실 예정이세요?
18753	지금 연체 중이신가요?
18755	얼마나 연체되었나요?
18768	계약자 본인이신가요?
18780	대출 내역 문의하시나요?
18782	대출 신청은 어디서 하셨나요?
18784	어떤 대출 내역을 원하시나요?
18792	더 궁금하신 사항은 없나요?
18794	이미 상환을 다 하셨나요?
18800	네 고객님 보험금 청구를 하셨나요?
18802	언제 청구 하셨나요?
18820	포인트 적립 문의 하시나요?
18832	언제 내역을 원하시나요?
18840	네 고객님 대출 신청하셨나요?
18842	신청 완료 인증 문자는 받으셨나요?
18844	통장 거래내역은 확인해보셨나요?
18872	네, 고객님. 추가 문의사항 있으세요?
18879	네, 고객님. 보험 잔고증명서 발급 원하시나요?
18881	방문하시거나 인터넷으로 하실 수 있는데 어떤게 편리하세요?
18919	네, 고객님. 앱으로 청구하셨나요?
18922	성함과 주민등록번호 말씀해주세요. 
18924	네, OOO님 본인이신가요?
18926	가장 최근에 청구하신 내역을 말씀해드리면 될까요?
18942	어떤 보험의 입금내역을 확인해드릴까요?
18944	올해의 입금내역을 확인해드리면 될까요?
18952	미납된 보험료를 바로 결제 처리해도 될까요?
18967	어떤 보험의 입금내역을 확인해드릴까요?
18969	올해의 입금내역을 확인해드리면 될까요?
18991	어떤걸 도와드릴까요?
19011	무엇을 도와드릴까요?
19013	그러셨나요. 그럼 보험료가 안빠졌나겠네요?
19026	다른 질문 없으시지요?
19052	무엇을 도와드릴까요?
19066	다른 질문 없으시지요?
19072	무엇을 도와드릴까요?
19092	어떤걸 도와드릴까요?
19106	다른 질문 없으시지요?
19111	무엇을 도와드릴까요?
19131	무엇을 도와드릴까요?
19135	네, 고객님, 잔고가 부족해서 이자를 못 내셨다는 말씀이지요?
19152	어떤걸 도와드릴까요?
19164	다른 질문이 있으신가요?
19171	무엇을 도와드릴까요?
19189	다른 질문이 있으신가요?
19197	무엇을 도와드릴까요?
19201	혹시, 신탁상품 가입시 신탁계약서 작성하셨지요?
19224	다른 질문이 있으신가요?
19232	무엇을 도와드릴까요?
19252	다른 질문이 있으신가요?
19260	무엇을 도와드릴까요?
19268	자동이체 은행이 어디신가요?
19270	전화번호는 어떻게 되시나요?
19273	혹시 변액보험이 아니시지요?
19281	다른 질문이 있으신가요?
19289	무엇을 도와드릴까요?
19295	계약자인가요, 수익자인가요?
19307	혹시 대출잔고가 있으신가요?
19311	다른 질문이 있으신가요?
19331	더 질문이 있으신지요?
19336	무엇을 도와드릴까요?
19379	또 다른 문의사항이 있으신가요?
19387	무엇을 도와드릴까요?
19407	어떤걸 도와드릴까요?
19426	무엇을 도와드릴까요?
19442	다른 궁금한 사항이 있으신가요?
19447	무엇을 도와드릴까요?
19451	혹시 잔액 중 미결제 타점권이 있는가요?
19453	수표로 입금하셨는지요?
19467	무엇을 도와드릴까요?
19486	무엇을 도와드릴까요?
19507	무엇을 도와드릴까요?
19526	무엇을 도와드릴까요?
19550	네, 고객님 다른 질문이 있으신가요?
19558	어떤걸 도와드릴까요?
19576	다른 질문이 있으신가요?
19584	어떤걸 도와드릴까요?
19604	무엇을 도와드릴까요?
19618	다른 궁금한 사항이 있으신가요?
19624	무엇을 도와드릴까요?
19630	보험계약 대출을 신청하셨나요?
19644	어떤걸 도와드릴까요?
19663	혹시 안내를 받아보신 적 이있으신가요?
19683	사고 당시에 당사에 가입된 자동차보험으로 사고접수를 하신건가요?
19685	지금은 보상을 모두 받으신 상황이신가요?
19690	자동차사고 피해자이신건가요?
19724	갑자기 보험료가 인상 됐다는 말씀인가요?
19743	보험금 잔고 말씀인가요?
19753	본인 이신가요?
19756	휴대전화 뒷번화 말씀해 주시겠어요?
19765	인터넷 뱅킹앱을 이용하시나요?
19777	혹시 다른 문의사항 있으실까요?
19780	다른 문의사항 있으실까요?
19785	인터넷 뱅킹앱을 이용하세요?
19800	혹시 다른 문의사항 있으실까요?
19807	혹시 다른 문의사항 있으실까요?
19813	다른 문의사항 있으실까요?
19815	무엇이든 말씀해주세요
19819	다른 문의사항 있으실까요?
19831	다른 문의사항 있으실까요?
19833	말씀하세요
19839	다른 문의사항 있으실까요?
19845	인터넷 뱅킹앱을 이용하시나요?
19849	네 . 저 따라 해보세요.
19857	네 또 궁금하신게 있으세요
19860	다른 문의사항 있으실까요?
19865	인터넷 뱅킹 이용자신가요?
19880	혹시 다른 문의사항 있으실까요?
19887	혹시 다른 문의사항 있으실까요?
19893	다른 문의사항 있으실까요?
19895	말씀하세요
19899	다른 문의사항 있으실까요?
19920	다른 문의사항 있으실까요?
19940	추가 문의사항 있으면 말씀하세요
19949	인터넷뱅킹 으로 하는 방법 안내드릴까요?
19960	또 다른 궁금하신 사항이 있으신가요?
19980	다른 문의사항 있으실까요?
19999	추가 사항있으세요?
20011	다른 문의사항 있으실까요?
20013	무엇인가요?
20019	다른 문의사항 있으실까요?
20025	인터넷 뱅킹 이용 고객이신가요?
20037	혹시 다른 문의사항 있으실까요?
20040	다른 문의사항 있으실까요?
20045	인터넷 뱅킹앱 이용 고객이신가요?
20060	추가 다른 문의사항 있으실까요?
20065	해외로 송금한 거래내역을 확인하려 하시는군요.
20079	또 다른 문의사항 있으신가요?
20091	또 다른 문의사항 있으신가요?
20099	또 다른 문의사항 있으신가요?
20105	인터넷 뱅킹앱을 이용 고객이세요?
20117	혹시 또 다른 문의사항 있으실까요?
20120	또 다른 문의사항 있으실까요?
20125	인터넷 뱅킹앱을 이용하시나요?
20129	네 . 저 따라 해보세요.
20137	네 또 궁금하신게 있으세요
20140	다른 문의사항 있으실까요?
20149	어떤방법으로 안내도와드릴까요?
20160	또 다른 문의사항 있으신가요?
20175	또 다른 문의사항 있으신가요?
20179	또 다른 문의사항 있으신가요?
20187	인터넷 뱅킹 회원이신가요?
20199	또 다른 문의사항 있으신가요?
20211	다른 궁금하신 사항이 있으세요?
20213	말씀하세요?
20219	또 다른 문의사항 있으신가요?
20225	인터넷 뱅킹앱을 사용하시는 고개이신가요?
20237	혹시 또 다른 문의사항 있으실까요?
20240	또 다른 문의사항 있으실까요?
20245	인터넷 뱅킹앱을 이용하세요?
20260	혹시 또 다른 문의사항 있으실까요?
20265	기업통장의 거래내역을 확인하고 싶으시군요.
20270	어떤방법으로 안내도와드릴까요?
20280	추가 사항 있으세요?
20284	어떤 방법 받아 보시기를 원하나요?
20295	원본이 필요하신가요?
20301	또 다른 문의 사항이 있으신가요?
20326	OOO고객님, 불러주신 전화번호로 인증번호를 발송해드렸습니다. 확인되시나요?
20345	보험계약자가 본인이신가요?
20387	보험사 홈페이지에 접속하셔서 조회해 보셨나요?
20395	다른 문의사항은 없으신가요?
20442	배우자께서 안내 받으신 내용을 좀 더 자세히 말씀해 주시겠어요?
20600	보험증권은 확인해 보셨나요?
20602	확정금리인가요?
20649	통장인출로 변경해드릴까요?
20749	혹시 승인취소 하시려는 상품 결제시,결제하시고 받은 영수증 보관 중이신가요?
20757	혹시 비밀번호를 5회이상 입력하셨나요?
20765	내방하실경우 필요한 서류를 안내해 드릴까요?
20771	더 궁금하신 점이 있으실까요?
20775	본인이 발급받으신 공인인증서가 있으세요?
20782	안내해 드릴까요?
20790	다른 문의 사항이 또 있으실까요?
20810	더 필요하신 부분 있으십니까?
20875	그럼 아직 20여일 남아있으신건가요?
20893	신청을 도와드릴까요?
20902	어떤 카드를 신청해 드릴까요?
20906	추가 질문이 있으신가요?
20986	개인정보 확인을 위해 핸드폰 번호를 가르쳐주세요.
20999	네, 회원등급을 확인하고 싶으신건가요?
21007	우대고객 서비스가 있을겁니다. 찾으셨나요?
21011	또 다른 궁금하신 사항이 있으신가요?
21051	혹시 다른 문의사항 있으신가요?
21064	대리인 방문시 준비서류 안내해 드릴까요?
21072	혹시 다른 문의사항 있으신가요?
21076	네~ 대표자 방문시 서류 안내해 드릴까요? 아니면 대리인 방문시 서류 안내해 드릴까요?
21081	수수료 안내해드릴까요?
21084	예금잔액증명서 발급시 유의사항이 있습니다. 안내해 드릴까요?
21087	혹시 다른 문의사항 있으신가요?
21098	온누리상품권 이용 중이신가요?
21118	알리미문자 서비스 문의 하시나요?
21120	어떤 카드 이용 중이신가요?
21122	알리미문자에 어떤 잔액이 표시되는걸 문의 하시나요?
21131	결제 계좌는 어느 은행을 이용 하시나요?
21138	네 고객님 기프트카드 사용중이신가요?
21140	기프트카드로 결제를 하는데 잔고가 부족 하신가요?
21148	고객님 이용하시는 기프트카드 권면 금액이 얼마인가요?
21160	여러 개 카드로 결제가 안되신 다고요?
21169	기명 카드인가요?
21171	무기명 카드인가요?
21179	권면금액이 어떻게 되시나요?
21181	남은 잔액이 어떻게 되시나요?
21197	네 어떤점이 궁금하신가요?
21200	티머니 카드로 이용을 원하시나요?
21218	문자서비스 문의 하시나요?
21245	어떤 핸드폰은 사용 하시나요?
21246	삼성 핸드폰인가요?
21248	애플인가요?
21254	더 궁금하신 사항은 없으신가요?
21264	가지고 계신 상품권이 기명식 인가요?
21266	무기명식 인가요?
21268	발행사를 알고 계시나요?
21278	네 고객님 포인트 환불 문의 하시나요?
21282	제휴카드로 이용 하고 계신가요?
21284	제휴사가 어디신가요?
21286	OO마트 카드 이용중이세요?
21288	OO마트 포인트가 얼마나 쌓이셨나요?
21297	네 어떤 문의 신가요?
21299	기프트카드로 물건 구매를 하셨나요?
21301	사용중에 불편하신 점이 있었나요?
21307	카드를 잃어 버리셨나요?
21309	분실하셨나요?
21311	폐기하셨나요?
21317	네 안녕하세요 ?
21319	OO마트카드 이용중이신가요?
21327	현재 카드에 잔액이 있나요?
21329	유효기간이 언제까지 인가요?
21338	결제 계좌 잔고 확인 해보셨나요?
21340	결제대금 출금이 되었나요?
21357	선불카드 재발급에 대해 문의 하시나요?
21359	소득공제용으로 신청하셨나요?
21361	본인 명의 신가요?
21369	분실 신고를 언제 하셨나요?
21383	앞면에 얼마라고 적혀 있나요?
21391	어떤 숫자를 말씀하시나요?
21417	포인트 잔액 문의 하시나요?
21419	어떤 문의 신가요?
21437	안녕하세요 고객님 포인트 문의 하시나요?
21439	카드를 해지 하셨나요?
21441	포인트 잔고가 있으셨나요?
21443	저희 카드사 다른 카드는 이용 하시나요?
21451	지금 사용하시는 카드는 어떤 카드인가요?
21466	다른방법으로 납부를 원하시나요?
21477	네 고객님 신용카드로 취소를 하셨나요?
21479	영수증은 받지 못하셨나요?
21489	본인 카드가 아닌가요?
21497	네 고객님 어떤 문의인가요?
21499	체크카드 발급 받으시려고 하시나요?
21518	저희 카드사 체크카드 이용중이신가요?
21522	계좌 거래내역은 확인 해보셨나요?
21526	3일전이면 주말인가요?
21537	펀드계좌를 신규하셨나요?
21539	어떤문의신가요?
21541	가입하신 펀드가 거치식인가요?
21545	그러면 매달 입금하시나요?
21558	인터넷뱅킹 이용 하시나요?
21572	거래내역을 어디 이용 하려고 하시나요?
21577	네 고객님 안녕하세요?
21582	이용하시려는 증권사가 어디신가요?
21585	19세이상이신가요?
21591	저희 은행 통장은 있으신가요?
21599	예금 가입하셨나요?
21601	가입한지는 얼마나 경과하셨나요?
21614	더 궁금하신 사항 있나요?
21617	네 고객님 어떤 점이 궁금하신가요?
21630	계좌를 어떤 용도로 이용하고 계신가요?
21637	네 고객님 말씀하세요
21639	계좌 해지 문의하시나요?
21641	사용하시는데 불편하신 점 있으셨나요?
21643	예금 통장이신가요?
21645	입출금 통장이신가요?
21647	개설은 영업점에서 하셨나요?
21650	잔액은 얼마나 있으신가요?
21657	네 고객님 어떤 문의신가요?
21659	공인인증서 없이 이체 할 수 있는 서비스 말씀이신가요?
21677	네 고객님 어떤 문의신가요?
21684	계좌를 지점에서 만드셨나요?
21694	다른 문의 없으신가요?
21697	주식을 매수 하셨나요?
21700	언제 매수하셨나요?
21720	인터넷뱅킹 가입 하셨나요?
21728	가입시 이용 은행 두군데 정하지 않으셨나요?
21738	어디서 이체를 하시나요?
21740	어떤 오류 메시지가 나오나요?
21742	통장에 잔액이 있나요?
21744	수표로 입금 하신적이 있나요?
21749	다른 곳 연체 하신 적이 있나요?
21758	어떻게 사용이 안되시나요?
21760	이용시 메시지가 나오나요?
21762	현재 잔액이 얼마 있으신가요?
21764	신규는 언제 하셨나요?
21766	사용 안한지도 오래 되셨나요?
21802	인증서 발급은 하셨나요?
21809	국내 펀드인가요?
21830	현금 인출 문의 하시나요?
21832	고객님 사용 중인 카드가 현금카드인가요?
21834	신용카드 사용 중이신가요?
21836	계좌 잔액은 확인 해보셨나요?
21840	신용카드를 새로 발급 받으셨나요?
21842	언제 재발급 받으셨나요?
21844	재발급 전에 이용하시던 카드는 현금인출 되었나요?
21862	현재 글로벌 체크카드 가지고 계신가요?
21864	브랜드가 어디로 되어 있나요?
21876	비밀번호를 잊으셨나요?
21898	네 고객님 어떤 문의 신가요?
21899	통장은 가지고 계신가요?
21901	통장을 이용하지 않으신다고요?
21903	인터넷뱅킹으로 이용 하신다고요?
21905	이용건 수 가 많으신가요?
21908	나중에 통장으로 거래 내역 확인 안하셔도 되나요?
21919	이체는 직접 하셨나요?
21921	인터넷뱅킹 이용 하셨나요?
21923	그럼 폰뱅킹으로 이체 하셨나요?
21937	네 고개님 저희 카드사 신용카드 처음 발급하셨나요?
21939	어떤점이 궁금하신가요?
21943	문자서비스 신청하셨나요?
21958	고객님 안녕하세요 대출 문의 하시나요?
21960	저희 은행 거래 중이신가요?
21962	예금은 가입되어 있으신가요?
21969	지점 방문은 어려우신가요?
21971	신용카드는 이용하고 계신가요?
21977	네 어떤 문의신가요?
21979	통장은 안가지고 계신가요?
21982	내점하기는 어려우신가요?
21984	인터넷뱅킹은 이용하시나요?
21987	어디서 조회 하셨나요?
21989	찾으시는 내역이 언제 거래인가요?
21991	몇 년 전 내역이 필요하세요?
21997	네 고객님 어떤 점이 굼금하신가요?
22018	저희 은행 거래 중이신가요?
22033	대리인이 내점 하시나요?
22035	법인이신가요?
22037	개인이신가요?
22039	예금주와 관계가 어떻게 되시나요?
22057	네 고객님 어떤 문의신가요?
22077	만기통장 내역확인하시려는 건가요?
22087	어떤내역확인을 하시려는건가요?
22092	OO은행 뱅킹 사이트 회원가입이 되어잇으신가요?
22097	통장을 가지고 계시나요?
22099	분실하신건가요?
22103	학생이신건가요?
22117	어느은행 거래하시나요?
22137	언제쯤 거래하셨나요?
22139	그 이후 사용을 안하신건가요?
22141	인터넷뱅킹 가입이 되어있나요?
22143	통장만 발급 받으신건가요?
22157	어떤 거래 말씀이신가요?
22159	본인이신가요?
22161	통장가지고 계신가요?
22163	인터넷뱅킹 이용하시나요?
22177	잔액조회 하시려는 건가요?
22179	은행 거래중이신가요?
22181	인터넷뱅킹 이용하고 계신가요?
22183	통장만 가지고 계신건가요?
22197	통장을 가지고 계신가요?
22199	인터넷뱅킹 가입은 되어있으신가요?
22201	텔레뱅킹 가입되어 있으신가요?
22203	본인통장이신가요?
22205	아이가 미성년자인가요?
22217	마이너스통장 만드실껀가요?
22219	현재 사용하고 있나요?
22222	인터넷뱅킹 이용중이신가요?
22227	잔고가 안나오나요?
22229	통장 사용한적 있나요?
22237	타행계좌를 한번에 보고 싶은건가요?
22239	모바일앱 이용중이신가요?
22256	OO은행입니다. 무엇을 도와드릴까요 고객님?
22258	인터넷 뱅킹앱을 이용하시나요?
22270	혹시 또 다른 문의사항 있으실까요?
22273	또 다른 문의사항 있으실까요?
22276	OO은행입니다. 무엇을 도와드릴까요 고객님?
22278	인터넷 뱅킹앱을 이용하세요?
22293	혹시 또 다른 문의사항 있으실까요?
22296	OO은행입니다. 무엇을 도와드릴까요?
22300	혹시 또 다른 문의사항 있으실까요?
22306	다른 문의사항 있으실까요?
22308	무엇인가요?
22312	또 다른 문의사항 있으신가요?
22316	OO은행입니다. 무엇을 도와드릴까요?
22333	또 다른 문의사항 있으신가요?
22336	OO은행입니다. 무엇을 도와드릴까요?
22353	또 다른 문의사항 있으신가요?
22356	OO은행입니다. 무엇을 도와드릴까요?
22373	또 다른 문의사항 있으신가요?
22376	OO은행입니다. 무엇을 도와드릴까요?
22393	또 다른 문의사항 있으신가요?
22396	OO은행입니다. 무엇을 도와드릴까요?
22413	또 다른 문의사항 있으신가요?
22416	OO은행은행입니다. 무엇을 도와드릴까요?
22433	또 다른 문의사항 있으신가요?
22436	OO은행은행입니다. 무엇을 도와드릴까요?
22453	또 다른 문의사항 있으신가요?
22456	OO은행은행입니다. 무엇을 도와드릴까요?
22472	또 다른 문의사항 있으신가요?
22476	OO은행입니다. 무엇을 도와드릴까요?
22492	또 다른 문의사항 있으신가요?
22496	OO은행입니다. 무엇을 도와드릴까요?
22512	또 다른 문의사항 있으신가요?
22516	OO은행입니다. 무엇을 도와드릴까요?
22532	또 다른 문의사항 있으신가요?
22536	OO은행입니다. 무엇을 도와드릴까요?
22548	또 다른 문의사항 있으신가요?
22552	또 다른 문의사항 있으신가요?
22556	OO은행입니다. 무엇을 도와드릴까요?
22572	또 다른 문의사항 있으신가요?
22576	OO은행입니다. 무엇을 도와드릴까요?
22584	또 다른 문의사항 있으신가요?
22586	무엇인가요?
22592	또 다른 문의사항 있으신가요?
22596	OO은행입니다. 무엇을 도와드릴까요 고객님?
22598	인터넷 뱅킹앱을 이용하시나요?
22610	혹시 또 다른 문의사항 있으실까요?
22613	또 다른 문의사항 있으실까요?
22616	한국은행입니다. 무엇을 도와드릴까요 고객님?
22618	인터넷 뱅킹앱을 이용하세요?
22633	혹시 또 다른 문의사항 있으실까요?
22636	OO은행은행입니다. 무엇을 도와드릴까요?
22640	혹시 또 다른 문의사항 있으실까요?
22646	다른 문의사항 있으실까요?
22648	무엇인가요?
22652	또 다른 문의사항 있으신가요?
22656	OO은행은행입니다. 무엇을 도와드릴까요?
22673	또 다른 문의사항 있으신가요?
22676	OO은행은행입니다. 무엇을 도와드릴까요?
22693	또 다른 문의사항 있으신가요?
22696	OO은행입니다. 무엇을 도와드릴까요?
22713	또 다른 문의사항 있으신가요?
22716	OO은행은행입니다. 무엇을 도와드릴까요?
22733	또 다른 문의사항 있으신가요?
22736	OO은행입니다. 무엇을 도와드릴까요?
22753	또 다른 문의사항 있으신가요?
22756	OO은행입니다. 무엇을 도와드릴까요?
22773	또 다른 문의사항 있으신가요?
22776	OO은행입니다. 무엇을 도와드릴까요?
22793	또 다른 문의사항 있으신가요?
22796	OO은행입니다. 무엇을 도와드릴까요?
22812	또 다른 문의사항 있으신가요?
22816	OO은행입니다. 무엇을 도와드릴까요?
22832	또 다른 문의사항 있으신가요?
22836	OO은행입니다. 무엇을 도와드릴까요?
22852	또 다른 문의사항 있으신가요?
22856	OO은행입니다. 무엇을 도와드릴까요?
22872	또 다른 문의사항 있으신가요?
22876	한국은행입니다. 무엇을 도와드릴까요?
22888	또 다른 문의사항 있으신가요?
22892	또 다른 문의사항 있으신가요?
22896	한국은행입니다. 무엇을 도와드릴까요?
22912	또 다른 문의사항 있으신가요?
22916	한국은행입니다. 무엇을 도와드릴까요?
22924	또 다른 문의사항 있으신가요?
22926	무엇인가요?
22932	또 다른 문의사항 있으신가요?
22936	OO은행입니다. 무엇을 도와드릴까요 고객님?
22938	인터넷 뱅킹앱을 이용하시나요?
22950	혹시 또 다른 문의사항 있으실까요?
22953	또 다른 문의사항 있으실까요?
22956	새마을금고입니다. 무엇을 도와드릴까요 고객님?
22958	인터넷 뱅킹앱을 이용하세요?
22973	혹시 또 다른 문의사항 있으실까요?
22976	OO은행입니다. 무엇을 도와드릴까요?
22980	혹시 또 다른 문의사항 있으실까요?
22986	다른 문의사항 있으실까요?
22988	무엇인가요?
22992	또 다른 문의사항 있으신가요?
22996	OO은행입니다. 무엇을 도와드릴까요?
23013	또 다른 문의사항 있으신가요?
23016	OO은행입니다. 무엇을 도와드릴까요?
23033	또 다른 문의사항 있으신가요?
23036	OO은행입니다. 무엇을 도와드릴까요?
23053	또 다른 문의사항 있으신가요?
23056	OO은행입니다. 무엇을 도와드릴까요?
23073	또 다른 문의사항 있으신가요?
23076	OO은행입니다. 무엇을 도와드릴까요?
23093	또 다른 문의사항 있으신가요?
23096	OO은행입니다. 무엇을 도와드릴까요?
23113	또 다른 문의사항 있으신가요?
23116	OO은행입니다. 무엇을 도와드릴까요?
23133	또 다른 문의사항 있으신가요?
23136	OO은행입니다. 무엇을 도와드릴까요?
23152	또 다른 문의사항 있으신가요?
23156	한국은행입니다. 무엇을 도와드릴까요?
23172	또 다른 문의사항 있으신가요?
23176	한국은행입니다. 무엇을 도와드릴까요?
23192	또 다른 문의사항 있으신가요?
23196	새마을금고입니다. 무엇을 도와드릴까요?
23212	또 다른 문의사항 있으신가요?
23216	새마을금고입니다. 무엇을 도와드릴까요?
23228	또 다른 문의사항 있으신가요?
23232	또 다른 문의사항 있으신가요?
23236	새마을금고입니다. 무엇을 도와드릴까요?
23252	또 다른 문의사항 있으신가요?
23256	새마을금고입니다. 무엇을 도와드릴까요?
23264	또 다른 문의사항 있으신가요?
23266	무엇인가요?
23272	또 다른 문의사항 있으신가요?
23276	OO은행입니다. 무엇을 도와드릴까요 고객님?
23278	인터넷 뱅킹앱을 이용하시나요?
23290	혹시 또 다른 문의사항 있으실까요?
23293	또 다른 문의사항 있으실까요?
23296	OO은행입니다. 무엇을 도와드릴까요 고객님?
23298	인터넷 뱅킹앱을 이용하세요?
23313	혹시 또 다른 문의사항 있으실까요?
23316	OO은행입니다. 무엇을 도와드릴까요?
23320	혹시 또 다른 문의사항 있으실까요?
23326	다른 문의사항 있으실까요?
23328	무엇인가요?
23332	또 다른 문의사항 있으신가요?
23336	OO은행입니다. 무엇을 도와드릴까요?
23353	또 다른 문의사항 있으신가요?
23356	OO은행입니다. 무엇을 도와드릴까요?
23373	또 다른 문의사항 있으신가요?
23376	OO은행입니다. 무엇을 도와드릴까요?
23393	또 다른 문의사항 있으신가요?
23396	OO은행입니다. 무엇을 도와드릴까요?
23413	또 다른 문의사항 있으신가요?
23416	OO은행입니다. 무엇을 도와드릴까요?
23433	또 다른 문의사항 있으신가요?
23436	OO은행입니다. 무엇을 도와드릴까요?
23453	또 다른 문의사항 있으신가요?
23456	OO은행입니다. 무엇을 도와드릴까요?
23473	또 다른 문의사항 있으신가요?
23476	OO은행입니다. 무엇을 도와드릴까요?
23492	또 다른 문의사항 있으신가요?
23496	새마을금고입니다. 무엇을 도와드릴까요?
23512	또 다른 문의사항 있으신가요?
23516	새마을금고입니다. 무엇을 도와드릴까요?
23532	또 다른 문의사항 있으신가요?
23536	OO은행입니다. 무엇을 도와드릴까요?
23552	또 다른 문의사항 있으신가요?
23556	OO은행입니다. 무엇을 도와드릴까요?
23568	또 다른 문의사항 있으신가요?
23572	또 다른 문의사항 있으신가요?
23576	OO은행입니다. 무엇을 도와드릴까요?
23592	또 다른 문의사항 있으신가요?
23596	OO은행입니다. 무엇을 도와드릴까요?
23604	또 다른 문의사항 있으신가요?
23606	무엇인가요?
23612	또 다른 문의사항 있으신가요?
23616	OO은행입니다. 무엇을 도와드릴까요 고객님?
23618	인터넷 뱅킹앱을 이용하시나요?
23630	혹시 또 다른 문의사항 있으실까요?
23633	또 다른 문의사항 있으실까요?
23636	OO은행은행입니다. 무엇을 도와드릴까요 고객님?
23638	인터넷 뱅킹앱을 이용하세요?
23653	혹시 또 다른 문의사항 있으실까요?
23656	OO은행입니다. 무엇을 도와드릴까요?
23660	혹시 또 다른 문의사항 있으실까요?
23666	다른 문의사항 있으실까요?
23668	무엇인가요?
23672	또 다른 문의사항 있으신가요?
23676	OO은행입니다. 무엇을 도와드릴까요?
23693	또 다른 문의사항 있으신가요?
23696	OO은행입니다. 무엇을 도와드릴까요?
23713	또 다른 문의사항 있으신가요?
23716	한국은행입니다. 무엇을 도와드릴까요?
23733	또 다른 문의사항 있으신가요?
23736	OO은행입니다. 무엇을 도와드릴까요?
23753	또 다른 문의사항 있으신가요?
23756	한국은행입니다. 무엇을 도와드릴까요?
23773	또 다른 문의사항 있으신가요?
23776	OO은행입니다. 무엇을 도와드릴까요?
23793	또 다른 문의사항 있으신가요?
23796	OO은행입니다. 무엇을 도와드릴까요?
23813	또 다른 문의사항 있으신가요?
23816	OO은행입니다. 무엇을 도와드릴까요?
23832	또 다른 문의사항 있으신가요?
23836	OO은행입니다. 무엇을 도와드릴까요?
23852	또 다른 문의사항 있으신가요?
23856	OO은행입니다. 무엇을 도와드릴까요?
23872	또 다른 문의사항 있으신가요?
23876	OO은행은행입니다. 무엇을 도와드릴까요?
23892	또 다른 문의사항 있으신가요?
23896	OO은행은행입니다. 무엇을 도와드릴까요?
23908	또 다른 문의사항 있으신가요?
23912	또 다른 문의사항 있으신가요?
23916	OO은행은행입니다. 무엇을 도와드릴까요?
23932	또 다른 문의사항 있으신가요?
23936	OO은행은행입니다. 무엇을 도와드릴까요?
23944	또 다른 문의사항 있으신가요?
23946	무엇인가요?
23952	또 다른 문의사항 있으신가요?
23956	한국은행입니다. 무엇을 도와드릴까요 고객님?
23958	인터넷 뱅킹앱을 이용하시나요?
23970	혹시 또 다른 문의사항 있으실까요?
23973	또 다른 문의사항 있으실까요?
23976	OO은행입니다. 무엇을 도와드릴까요 고객님?
23978	인터넷 뱅킹앱을 이용하세요?
23993	혹시 또 다른 문의사항 있으실까요?
23996	OO은행입니다. 무엇을 도와드릴까요?
24000	혹시 또 다른 문의사항 있으실까요?
24006	다른 문의사항 있으실까요?
24008	무엇인가요?
24012	또 다른 문의사항 있으신가요?
24016	OO은행입니다. 무엇을 도와드릴까요?
24033	또 다른 문의사항 있으신가요?
24036	OO은행입니다. 무엇을 도와드릴까요?
24053	또 다른 문의사항 있으신가요?
24056	새마을금고입니다. 무엇을 도와드릴까요?
24073	또 다른 문의사항 있으신가요?
24076	OO은행입니다. 무엇을 도와드릴까요?
24093	또 다른 문의사항 있으신가요?
24096	새마을금고입니다. 무엇을 도와드릴까요?
24113	또 다른 문의사항 있으신가요?
24116	한국은행입니다. 무엇을 도와드릴까요?
24133	또 다른 문의사항 있으신가요?
24136	한국은행입니다. 무엇을 도와드릴까요?
24153	또 다른 문의사항 있으신가요?
24156	한국은행입니다. 무엇을 도와드릴까요?
24172	또 다른 문의사항 있으신가요?
24176	OO은행은행입니다. 무엇을 도와드릴까요?
24192	또 다른 문의사항 있으신가요?
24196	OO은행은행입니다. 무엇을 도와드릴까요?
24212	또 다른 문의사항 있으신가요?
24216	OO은행입니다. 무엇을 도와드릴까요?
24232	또 다른 문의사항 있으신가요?
24236	OO은행입니다. 무엇을 도와드릴까요?
24248	또 다른 문의사항 있으신가요?
24252	또 다른 문의사항 있으신가요?
24256	OO은행입니다. 무엇을 도와드릴까요?
24272	또 다른 문의사항 있으신가요?
24276	OO은행입니다. 무엇을 도와드릴까요?
24284	또 다른 문의사항 있으신가요?
24286	무엇인가요?
24292	또 다른 문의사항 있으신가요?
24296	새마을금고입니다. 무엇을 도와드릴까요 고객님?
24298	인터넷 뱅킹앱을 이용하시나요?
