	상담사질문(요청)
6418	인터넷과 스마트폰 중 어떤 것이 편리하신가요?
6424	로그인 설정을 무엇으로 해 두셨나요?
6438	안내를 원하시나요?
6448	더 문의하실 내용이 있으신가요?
6457	주로 어떻게 이체거래를 하시나요?
6490	그러니까 스마트폰으로 처리할때도 불러오기가 되나요?
6500	고객님, 어떤 계좌인지 말씀해 주시겠어요?
6529	보안카드를 이용하시나요?
6539	세금도 등록되나요? 
6555	당행 체크 카드를 소지하고 계시나요?
6571	거주지역이 어디신가요?
6578	스마트폰을 소지하고 계신가요?
6615	인터넷 뱅킹을 가장 최근에 사용하신게 언제인가요?
6632	가까운 영업점을 안내해 드릴까요?
6636	고객님 인터넷 뱅킹 할 수 있으신가요?
6644	지로/생활요금 보이시나요?
6655	네, 무엇을 도와드릴까요?
6684	지금 스마트폰뱅킹 접속중이신가요?
6695	OTP를 소지하고 계시나요?
6701	인터넷뱅킹이나 스마트폰뱅킹에 접속가능하신가요?
6715	오픈뱅킹서비스를 신청하셨나요?
6734	건강보험료를 자동이체 납부하시고 싶다는 말씀이시지요?
6736	지금은 어떻게 납부하고 계신가요?
6746	어떤 은행 이용하세요?
6748	OO은행 인터넷 뱅킹 접속되시나요?
6754	혹시 인터넷 뱅킹이나 스마트폰 뱅킹 이용 고객이신가요?
6762	자주 이용하는 이체대상 계좌번호를 등록하시면 어떨까요?
6774	스마트폰을 소지하고 계신가요?
6778	안드로이드 폰이신가요? 아이폰이신가요?
6798	지금 고객등급이 어떻게 되시나요?
6800	인터넷뱅킹이나 스마트폰뱅킹에 접속가능하신가요?
6817	개인고객님이신가요?
6838	어디서 하는지 메뉴 좀 알려주세요.
6854	언제부터 작동하지 않나요?
6856	OPT 발급일을 확인해 주시겠어요?
6860	발급일이 3년을 넘었나요?
6866	보안카드는 가지고 계시나요?
6875	인터넷 뱅킹이나 스마트폰 뱅킹을 이용하시나요?
6894	어디로 송금하시고 싶으세요?
6899	외화로 송금하시나요? 외화통장에서 이체하시나요?
6904	얼마를 송금하실 예정인가요?
6921	6자리로 등록하셔야합니다 텔레뱅킹을 최근에 가입하셨나요?
6923	텔레뱅킹 등록시 이체비밀번호를 등록하지 않으셨나요?
6925	텔레뱅킹 가입후 가입내역을 받으시지 않으셨나요?
6934	이미 이체 완료되었나요?
6954	인터넷 뱅킹에 출금계좌 등록을 하셨나요?
6974	계좌 비밀번호를 변경하고 싶으신가요?
6981	오류가 몇번 나셨나요?
6994	스마트폰을 이용하시나요?
6997	로그인은 어떻게 하나요?
7014	스마트폰에 뱅킹앱이 설치되어 있으신가요?
7019	혹시 지금 접속중이신가요?
7030	또 궁금하신 점이 있으세요?
7064	혹시 재산세만 납부하고 싶으신가요?
7070	혹시 재산세 납부 후 하루 안에 취소도 가능한가요?
7075	인터넷이나 스마트폰 뱅킹을 사용하시나요?
7081	1분기, 2분기 부과분 모두 납부하시고 싶다는 말씀이신가요?
7124	다른 문의사항 있으세요?
7132	창구에서 언제 입금하셨나요?
7141	더 문의 사항이 있으신가요?
7144	동전 분리기가 은행에 있나요?
7154	은행에서 무카드 서비스를 등록하셨나요?
7162	스마트폰 뱅킹 앱이 있으세요?
7172	성함과 생년월일을 알려주시겠어요?
7174	고객님, 계좌가 여러 개인데 어떤 계좌를 말씀하시나요?
7192	결제일을 변경하고 싶으세요?
7196	스마트폰에 카드 앱이 깔려 있나요?
7211	오픈뱅킹 무카드 출금서비스를 안내해 드릴까요?
7213	말씀하신 오픈뱅킹이 무슨앱이신가요?
7225	편의점 ATM기기는 아무곳이나 되나요?
7231	무엇을 알고 싶으신가요?
7235	제가 대신 인출할 수 있는 방법이 전혀 없나요?
7263	통장은 소지하고 계신가요?
7282	본인명의 휴대폰으로만 되나요?
7292	현금이 필요하신가요? 이체를 원하시나요?
7298	수수료 말씀이신가요?
7310	인터넷 뱅킹에서 말씀이신가요?
7320	혹시 외화 입금도 ATM에서 되나요?
7327	우대환율 말씀이세요?
7335	스마트 폰 앱 알림센터에 가서 알림설정이 되어 있는지 확인해 주시겠어요?
7347	문자알림서비스 등록해 드릴까요?
7365	당행 카드를 소지하고 계신가요?
7391	네 고객님, 중소기업 청년전세대출을 언제부터 이용하셨나요?
7393	만기일은 언제인가요?
7411	인터넷 뱅킹에 접속중이신가요?
7428	추가 문의사항이 있으신가요?
7451	네, 고객님 무엇을 도와드릴까요?
7454	어떤 방법이 편리하신가요?
7561	은행에 방문해야 하나요?
7572	신차 구매 예정이신가요?
7595	부부합산 연소득이 6천만원 이하이신가요?
7597	혹시 미셩년 자녀가 있으신가요?
7632	어떤 대출을 신청하셨나요?
7652	직장인이신가요? 사업자이신가요?
7655	얼마나 대출받으실 예정이신가요?
7661	신혼부부이신가요?
7683	대출하신지 얼마나 되셨나요?
7685	대출 약정기간은 얼마동안이세요?
7711	어떤 종류의 주택이신가요?
7713	아파트 구입을 위한 대출이신가요? 
7728	다른 문의사항 있으신가요?
7731	마이너스 통장은 만드셨나요?
7739	사업자등록증이 있으세요?
7760	지금 신청하도록 도와드릴까요?
7762	우선 인터넷 뱅킹 접속하시겠어요?
7774	근무하신지 얼마나 되셨나요?
7780	총 전세보증금이 얼마인가요?
7791	네, 무엇을 도와드릴까요?
7793	직장에 근무하신지 얼마나 되셨나요?
7811	대학생이신가요?
7840	인터넷뱅킹이나 스마트폰뱅킹에 접속 가능하세요?
7848	진행하시면서, 추가 문의사항 있으시면 남겨주세요.
7862	본인인지 확인하기 위해 문자를 보내면 인증해 주시겠어요?
7915	직장인이신가요?
7917	얼마동안 근무하셨어요?
7953	사업자 등록하신지 얼마나 되셨나요?
7955	기존에 사업관련 대출을 받으신 적이 있나요?
7973	고객님의 연령이 어떻게 되시나요?
7991	기혼이신가요?
7993	신혼부부이신가요?
8010	햇살론 신청목적이 어떻게 되시나요?
8012	연소득이 얼마이신가요?
8052	당행에 예금이 가입되어 있으신가요?
8072	대출 실행하신지 얼마나 되셨나요?
8074	대출만기는 언제이신가요?
8112	대출 신청을 언제 하셨나요?
8115	혹시 대출 승인 안되었다는 안내를 받으셨나요?
8164	챗봇 상담후 추가 전화상담 신청해 드릴까요?
8170	코로나로 인해 매출이 줄었나요?
8173	연매출이 1억원 이하이신가요?
8186	추가 문의사항이 있으신가요?
8190	안녕하세요. 고객님. 저희 은행 연금에 가입되어 있으신가요?
8192	납입 완료하셨나요?
8210	얼마동안 연체하셨나요?
8212	오래 되셨나요?
8215	문자로 안내를 받지 못하셨나요?
8279	직장인이신가요?
8291	당행 고객이신가요?
8294	아파트 관리비는 무엇으로 납부하고 계신가요?
8310	이번달 대출이자 말씀인가요?
8313	무슨 대출이신가요?
8315	변동금리인가요?
8319	인터넷뱅킹이나 스마트폰뱅킹 사용하시나요?
8333	혹시 안내 문자를 받으셨나요?
8346	상담사를 예약해 드릴까요?
8350	안내서비스 모두 안내 진행 도와드릴게요.
8369	당사 보험이 가입되어 있는지 확인 하겠습니다 주민번호와 성함말씀해주시겠어요?
8874	콜센터로 연결해 드릴까요?
8885	더 궁금하신 사항은 없으신가요?
8908	반갑습니다. 00보험입니다. 뭘 도와드릴까요?
8929	성함과 생년월일 말해주시겠어요?
8931	개인정보동의를 위해 문자를보신후 동의하시면 번호를 불러주세요
8959	얼마나 되셨나요?
8961	보험료 이체가 5회 이상이신가요?
8997	성함과 생년월일 말해주시겠어요?
8999	개인정보동의를 위해 문자를보신후 동의하시면 번호를 불러주세요
9026	보험이 대출이 안될 수도 있나요?
9045	같은 은행으로 이체하시나요?
9086	근속연수는요?
9126	우선 성함, 생년월일, 핸드폰번호 말해주시겠어요?
9138	어떤 은행이 편하신가요?
9144	추가 문의사항 없으신가요?
9148	계약자 본인이신가요?
9150	보험 증권번호를 말씀해 주시겠어요?
9152	계약자 성함이 무엇인가요?
9157	매월 자동 출금 등록할까요?
9159	출금일은 언제로 할까요?
9169	인터넷 뱅킹이용 가능하세요?
9171	어느 은행 이용하실 거예요?
9173	지금 바로 등록하는거 안내드릴까요?
9209	인터넷 뱅킹에서 가능한데 고객님 사용하고 계신가요?
9211	어느 은행에서 출금하실거예요?
9213	바로 신청도와드릴까요?
9231	어느 은행 에서 자동이체 신청하실거예요?
9233	혹시 지금 인터넷 사용할 수 있으세요?
9247	OO은행입니다. 무엇을 도와드릴까요 고객님?
9249	어떻게요?
9263	또 다른 문의사항 있으실까요?
9267	OO은행입니다. 무엇을 도와드릴까요 고객님?
9269	어떻게요?
9283	또 다른 문의사항 있으실까요?
9287	OO은행은행입니다. 무엇을 도와드릴까요 고객님?
9291	고객님 개인고객이신가요?
9299	다른 문의사항 있으실까요?
9307	OO은행입니다. 무엇을 도와드릴까요 고객님?
9317	다른 문의사항 있으실까요?
9323	또 다른 문의사항 있으실까요?
9327	OO은행입니다. 무엇을 도와드릴까요 고객님?
9331	다른 문의사항 있으실까요?
9335	다른 문의사항 있으실까요?
9339	또 다른 문의사항 있으실까요?
9343	또 다른 문의사항 있으실까요?
9347	기업은행입니다. 무엇을 도와드릴까요 고객님?
9349	상향하실건가요?
9363	또 다른 문의사항 있으실까요?
9367	OO은행은행입니다. 무엇을 도와드릴까요 고객님?
9369	하향조정하실건가요?
9383	또 다른 문의사항 있으실까요?
9401	문자메세지로 가상계좌번호 확인해 주시겠어요?
9412	보험가입자 성함 말씀해 주세요
9414	보험가입자 주민등록번호 말씀해 주세요
9417	보험계약대출 금액을 알려드릴까요?
9429	대출 진행 도와드릴까요?
9437	보험가입자 성함과 주민등록번호 입력해 주세요
9440	고객님 성함으로는 2건의 보험이 조회가 되세요
9451	대출진행해 드릴까요?
9455	다른 문의 사항이 있으세요?
9460	담당 설계사분께 안내받으셨나요?
9480	무엇이 궁금하신가요?
9482	대출 가능 금액이 궁금하신가요?
9485	고객님 정보확인부터 해도 될까요?
9487	고객님 성함이 어떻게 되시나요?
9489	주민등록번호는 어떻게 되시나요
9491	마지막으로 고객님 주소지고 어느 아파트 몇동몇호신가요?
9499	보험금 납부 금액 내에서 대출가능 금액을 말씀하시는 건가요?
9503	보험설계사분을 말씀하시는 건가요?
9507	알면 안되는 이유가 있으신가요?
9520	보험료가 한달에 두번 결제되었단 말씀이신가요?
9540	보험료가 이중결제가 된 건이신가요?
9559	고객님께서 실효보험된 상품이 있으신건가요?
9561	안내를 받으셨나요?
9563	문자 내용이 어떻게 왔던가요?
9566	성함과 주민등록번호 말씀해 주세요
9569	보험료를 한참 납입하지 않으신건가요?
9571	보험 설계사분과 상담하신 건가요?
9579	연체된 보험료가 있으신건가요?
9582	고객님 성함이 어떻게 되세요
9584	주민번호도 알려주세요
9589	보험료를 바로 납부하실 건가요?
9602	성함 말씀해 주세요
9604	주민등록번호도 알려주세요
9614	지금 해드릴까요?
9620	고객님 계좌에서 이중출금 되셨나요?
9623	혹시 카드납부 변경을 언제 하셨나요?
9625	계좌에서 출금은 언제 되셨나요?
9628	보험료 납부는 우선순위가 있으신데 알고 계신가요?
9639	고객님 정보부터 확인해도 될까요
9644	전화번호는 이번호 맞으신가요?
9660	납부 보험료 담보로 대출을 신청하실 건가요?
9663	필요하신 대출금액을 알려주시겠습니까
9667	고객님 성함과 주민등록번호 말씀해 주세요
9681	보험계약대출 안내받으셨나요?
9683	대출이 필요하신가요?
9686	안내문자 내용이 어떤건가요?
9689	고객님 보험 조회해보니 가능 금액은 607만원입니다. 안내받으신 금액이 맞으신가요?
